launching 128 jobs, max_concurrent=6
[28/128] seed 24028 (inhib10_gap1.50) -> exit 0, 192.1s
[29/128] seed 24026 (inhib10_gap1.50) -> exit 0, 196.1s
[30/128] seed 24029 (inhib10_gap1.50) -> exit 0, 194.1s
[31/128] seed 24030 (inhib10_gap1.50) -> exit 0, 196.1s
[32/128] seed 24031 (inhib10_gap1.50) -> exit 0, 194.1s
[33/128] seed 24033 (inhib11_gap1.00) -> exit 0, 194.1s
[34/128] seed 24032 (inhib11_gap1.00) -> exit 0, 198.1s
[35/128] seed 24034 (inhib11_gap1.00) -> exit 0, 196.1s
[36/128] seed 24035 (inhib11_gap1.00) -> exit 0, 196.1s
[37/128] seed 24036 (inhib11_gap1.00) -> exit 0, 196.1s
[38/128] seed 24038 (inhib11_gap1.00) -> exit 0, 194.1s
[39/128] seed 24037 (inhib11_gap1.00) -> exit 0, 198.1s
[40/128] seed 24040 (inhib11_gap1.17) -> exit 0, 194.1s
[41/128] seed 24039 (inhib11_gap1.00) -> exit 0, 196.1s
[42/128] seed 24041 (inhib11_gap1.17) -> exit 0, 196.1s
[43/128] seed 24042 (inhib11_gap1.17) -> exit 0, 194.1s
[44/128] seed 24043 (inhib11_gap1.17) -> exit 0, 194.1s
[45/128] seed 24044 (inhib11_gap1.17) -> exit 0, 194.1s
[46/128] seed 24045 (inhib11_gap1.17) -> exit 0, 194.1s
[47/128] seed 24046 (inhib11_gap1.17) -> exit 0, 196.1s
[48/128] seed 24047 (inhib11_gap1.17) -> exit 0, 194.1s
[49/128] seed 24048 (inhib11_gap1.33) -> exit 0, 194.1s
[50/128] seed 24049 (inhib11_gap1.33) -> exit 0, 194.1s
[51/128] seed 24050 (inhib11_gap1.33) -> exit 0, 196.1s
[52/128] seed 24051 (inhib11_gap1.33) -> exit 0, 196.1s
[53/128] seed 24053 (inhib11_gap1.33) -> exit 0, 194.1s
[54/128] seed 24052 (inhib11_gap1.33) -> exit 0, 202.1s
[55/128] seed 24054 (inhib11_gap1.33) -> exit 0, 196.1s
[56/128] seed 24055 (inhib11_gap1.33) -> exit 0, 196.1s
[57/128] seed 24057 (inhib11_gap1.50) -> exit 0, 196.1s
[58/128] seed 24056 (inhib11_gap1.50) -> exit 0, 200.1s
[59/128] seed 24058 (inhib11_gap1.50) -> exit 0, 196.1s
[60/128] seed 24059 (inhib11_gap1.50) -> exit 0, 194.1s
[61/128] seed 24060 (inhib11_gap1.50) -> exit 0, 194.1s
[62/128] seed 24061 (inhib11_gap1.50) -> exit 0, 196.1s
[63/128] seed 24062 (inhib11_gap1.50) -> exit 0, 194.1s
[64/128] seed 24063 (inhib11_gap1.50) -> exit 0, 194.1s
[65/128] seed 24064 (inhib12_gap1.00) -> exit 0, 196.1s
[66/128] seed 24065 (inhib12_gap1.00) -> exit 0, 198.1s
[67/128] seed 24066 (inhib12_gap1.00) -> exit 0, 196.1s
[68/128] seed 24067 (inhib12_gap1.00) -> exit 0, 196.1s
[69/128] seed 24069 (inhib12_gap1.00) -> exit 0, 194.1s
[70/128] seed 24068 (inhib12_gap1.00) -> exit 0, 202.1s
[71/128] seed 24070 (inhib12_gap1.00) -> exit 0, 196.1s
[72/128] seed 24071 (inhib12_gap1.00) -> exit 0, 194.1s
[73/128] seed 24072 (inhib12_gap1.17) -> exit 0, 196.1s
[74/128] seed 24073 (inhib12_gap1.17) -> exit 0, 196.1s
[75/128] seed 24074 (inhib12_gap1.17) -> exit 0, 194.1s
[76/128] seed 24075 (inhib12_gap1.17) -> exit 0, 194.1s
[77/128] seed 24076 (inhib12_gap1.17) -> exit 0, 192.1s
[78/128] seed 24077 (inhib12_gap1.17) -> exit 0, 200.1s
[79/128] seed 24080 (inhib12_gap1.33) -> exit 0, 192.1s
[80/128] seed 24078 (inhib12_gap1.17) -> exit 0, 198.1s
[81/128] seed 24079 (inhib12_gap1.17) -> exit 0, 196.1s
[82/128] seed 24081 (inhib12_gap1.33) -> exit 0, 194.1s
[83/128] seed 24082 (inhib12_gap1.33) -> exit 0, 196.1s
[84/128] seed 24083 (inhib12_gap1.33) -> exit 0, 196.1s
[85/128] seed 24084 (inhib12_gap1.33) -> exit 0, 192.1s
[86/128] seed 24085 (inhib12_gap1.33) -> exit 0, 194.1s
[87/128] seed 24086 (inhib12_gap1.33) -> exit 0, 194.1s
[88/128] seed 24087 (inhib12_gap1.33) -> exit 0, 194.1s
[89/128] seed 24088 (inhib12_gap1.50) -> exit 0, 194.1s
[90/128] seed 24089 (inhib12_gap1.50) -> exit 0, 198.1s
[91/128] seed 24090 (inhib12_gap1.50) -> exit 0, 194.1s
[92/128] seed 24091 (inhib12_gap1.50) -> exit 0, 194.1s
[93/128] seed 24092 (inhib12_gap1.50) -> exit 0, 200.1s
[94/128] seed 24093 (inhib12_gap1.50) -> exit 0, 196.1s
[95/128] seed 24094 (inhib12_gap1.50) -> exit 0, 194.1s
[96/128] seed 24095 (inhib12_gap1.50) -> exit 0, 196.1s
[97/128] seed 24097 (inhib13_gap1.00) -> exit 0, 198.1s
[98/128] seed 24096 (inhib13_gap1.00) -> exit 0, 204.1s
[99/128] seed 24098 (inhib13_gap1.00) -> exit 0, 196.1s
[100/128] seed 24099 (inhib13_gap1.00) -> exit 0, 194.1s
[101/128] seed 24100 (inhib13_gap1.00) -> exit 0, 194.1s
[102/128] seed 24101 (inhib13_gap1.00) -> exit 0, 196.1s
[103/128] seed 24102 (inhib13_gap1.00) -> exit 0, 192.1s
[104/128] seed 24103 (inhib13_gap1.00) -> exit 0, 194.1s
[105/128] seed 24104 (inhib13_gap1.17) -> exit 0, 194.1s
[106/128] seed 24105 (inhib13_gap1.17) -> exit 0, 196.1s
[107/128] seed 24106 (inhib13_gap1.17) -> exit 0, 196.1s
[108/128] seed 24107 (inhib13_gap1.17) -> exit 0, 194.1s
[109/128] seed 24108 (inhib13_gap1.17) -> exit 0, 196.1s
[110/128] seed 24109 (inhib13_gap1.17) -> exit 0, 194.1s
[111/128] seed 24110 (inhib13_gap1.17) -> exit 0, 192.1s
[112/128] seed 24111 (inhib13_gap1.17) -> exit 0, 192.1s
[113/128] seed 24112 (inhib13_gap1.33) -> exit 0, 194.1s
[114/128] seed 24113 (inhib13_gap1.33) -> exit 0, 196.1s
[115/128] seed 24114 (inhib13_gap1.33) -> exit 0, 268.1s
[116/128] seed 24115 (inhib13_gap1.33) -> exit 0, 268.1s
[117/128] seed 24116 (inhib13_gap1.33) -> exit 0, 268.1s
[118/128] seed 24117 (inhib13_gap1.33) -> exit 0, 268.1s
[119/128] seed 24118 (inhib13_gap1.33) -> exit 0, 266.1s
[120/128] seed 24119 (inhib13_gap1.33) -> exit 0, 284.1s
[121/128] seed 24120 (inhib13_gap1.50) -> exit 0, 346.3s
[122/128] seed 24122 (inhib13_gap1.50) -> exit 0, 350.3s
[123/128] seed 24124 (inhib13_gap1.50) -> exit 0, 352.2s
[124/128] seed 24123 (inhib13_gap1.50) -> exit 0, 354.3s
[125/128] seed 24121 (inhib13_gap1.50) -> exit 0, 360.3s
[126/128] seed 24125 (inhib13_gap1.50) -> exit 0, 356.2s
[127/128] seed 24126 (inhib13_gap1.50) -> exit 0, 306.1s
[128/128] seed 24127 (inhib13_gap1.50) -> exit 0, 306.1s
BOUNDARY SWEEP DONE -- 128 jobs, 0 failed, 4642.7s total
